epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.9424,1.06088,5.84988,1.05164,0.42352,0.30975,0.57794,0.48461,0.43748,16.0335,0.44918,5.716e-05,5.716e-05,5.716e-05
2,31.5045,1.15483,3.9846,1.10284,0.47556,0.6,0.64513,0.52325,0.43352,20.2063,0.46437,0.000126064,0.000126064,0.000126064
3,47.7165,1.02926,2.56,1.02049,0.99629,0.5,0.65562,0.53407,0.43124,18.5058,0.45498,0.000192138,0.000192138,0.000192138
4,62.9669,1.09517,2.65914,0.99722,0.51718,0.53007,0.742,0.60272,0.43314,16.3163,0.4507,0.000255382,0.000255382,0.000255382
5,77.4611,1.06583,1.38565,1.03684,1,0.49693,0.72867,0.5136,0.50566,16.0263,0.47992,0.000315798,0.000315798,0.000315798
6,91.8397,0.99586,1.5747,0.97325,0.51218,0.55,0.72954,0.49532,0.54173,14.5246,0.49303,0.000373383,0.000373383,0.000373383
7,106.188,1.12958,1.34848,1.03889,0.65189,0.6,0.72512,0.50588,0.52824,13.2548,0.50859,0.00042814,0.00042814,0.00042814
8,120.497,1.00416,1.33628,0.96901,0.85552,0.6,0.64655,0.48143,0.54486,13.2078,0.51616,0.000480067,0.000480067,0.000480067
9,134.854,1.16321,1.32602,1.02567,0.48978,0.5,0.51327,0.40557,0.58774,15.4663,0.55093,0.000529164,0.000529164,0.000529164
10,149.037,1.14511,1.18581,1.08303,0.99205,0.5,0.50865,0.41648,0.54237,17.2391,0.54099,0.000575433,0.000575433,0.000575433
11,163.336,1.15747,1.16549,1.0514,0.49505,0.5,0.50345,0.41068,0.59923,18.6082,0.56108,0.000618871,0.000618871,0.000618871
12,177.837,1.05654,1.02467,1.0912,0.5,0.49602,0.50759,0.37277,0.69147,8.98511,0.60999,0.000659481,0.000659481,0.000659481
13,191.891,1.19567,1.07931,1.08415,0.48294,0.5,0.50933,0.39509,0.71235,6.08291,0.60291,0.000697261,0.000697261,0.000697261
14,206.268,1.04367,0.90912,1.02277,0.94806,0.22222,0.47766,0.24069,0.93521,4.11578,0.75742,0.000732211,0.000732211,0.000732211
15,220.478,1.10538,0.98999,1.08221,0.03816,0.05556,0.00629,0.00364,1.08378,19.5137,1.0408,0.000764332,0.000764332,0.000764332
16,234.56,1.23991,1.06281,1.12701,0.00647,0.05556,0.00226,0.0009,1.03306,75.5008,0.87444,0.000793624,0.000793624,0.000793624
17,248.673,1.10601,0.89145,1.02955,0.64072,0.11111,0.10512,0.06565,1.19075,6.46509,1.24084,0.000820086,0.000820086,0.000820086
18,262.789,0.95894,0.83393,1.06379,0.42761,0.53512,0.5383,0.32301,0.83329,22.4468,0.76337,0.000843719,0.000843719,0.000843719
19,276.925,1.12991,0.84532,1.08728,0.50329,0.57484,0.41858,0.21566,0.84478,111.197,0.80716,0.000864522,0.000864522,0.000864522
20,291.228,1.14219,0.89274,1.0918,0.36893,0.86965,0.70599,0.39313,0.6908,31.5869,0.64921,0.000882496,0.000882496,0.000882496
21,305.287,0.93298,0.73757,1.00844,0.37662,0.86935,0.74413,0.54025,0.55332,15.1269,0.52854,0.000863116,0.000863116,0.000863116
22,319.32,1.01484,0.76214,1.03383,0.496,0.66416,0.81257,0.57093,0.5641,2.7773,0.5246,0.000834822,0.000834822,0.000834822
23,333.406,0.98041,0.74423,1.00388,0.86768,0.8891,0.89637,0.62805,0.57047,2.22802,0.53958,0.000806528,0.000806528,0.000806528
24,347.345,1.06926,0.75608,1.14318,0.92772,0.9,0.94,0.65709,0.58964,2.10826,0.54474,0.000778233,0.000778233,0.000778233
25,361.24,1.00444,0.76142,1.05196,0.94519,0.8,0.92057,0.61475,0.61573,1.50511,0.55873,0.000749939,0.000749939,0.000749939
26,375.395,1.11799,0.8716,1.15204,0.93853,0.9,0.94,0.6144,0.62105,1.9443,0.56588,0.000721645,0.000721645,0.000721645
27,389.444,0.96306,0.68218,0.97875,0.98939,0.89871,0.94,0.58596,0.62458,4.35081,0.57974,0.000693351,0.000693351,0.000693351
28,403.568,0.90374,0.72391,1.00072,0.96101,0.82635,0.945,0.62047,0.588,9.01404,0.56018,0.000665057,0.000665057,0.000665057
29,417.613,0.76906,0.80863,0.8489,0.95625,0.84602,0.945,0.6244,0.56874,4.04114,0.53897,0.000636762,0.000636762,0.000636762
30,431.903,0.98413,0.71746,1.00605,0.95853,0.89167,0.94,0.65973,0.55594,1.31162,0.53717,0.000608468,0.000608468,0.000608468
31,446.03,1.06586,0.68794,1.04739,0.96575,0.94559,0.945,0.67018,0.55031,1.19758,0.5389,0.000580174,0.000580174,0.000580174
32,460.004,0.90589,0.62844,1.02718,0.97343,0.84514,0.93035,0.67431,0.52747,1.02129,0.53339,0.00055188,0.00055188,0.00055188
33,474.114,0.95032,0.70661,0.93687,0.84869,0.9,0.9248,0.66099,0.53528,1.06087,0.53988,0.000523586,0.000523586,0.000523586
34,487.929,0.89615,0.63328,1.00018,0.86609,0.75,0.91924,0.63861,0.54328,1.19735,0.54297,0.000495291,0.000495291,0.000495291
35,502.425,0.83267,0.6205,0.94795,0.92481,0.67433,0.79831,0.57272,0.53595,1.58092,0.54256,0.000466997,0.000466997,0.000466997
36,516.914,0.86994,0.62852,0.9827,0.94704,0.69828,0.71386,0.52572,0.55952,2.53458,0.55337,0.000438703,0.000438703,0.000438703
37,531.217,0.8161,0.56489,0.95751,0.93171,0.65,0.67822,0.49268,0.58134,1.98219,0.5512,0.000410409,0.000410409,0.000410409
38,545.313,0.82657,0.60631,0.94654,0.94661,0.6374,0.66407,0.4885,0.56837,1.80563,0.54491,0.000382115,0.000382115,0.000382115
39,559.413,0.90618,0.63457,0.98301,0.94623,0.63424,0.75976,0.52356,0.55369,1.79852,0.54041,0.00035382,0.00035382,0.00035382
40,574.17,0.85853,0.55544,0.98166,0.81861,0.8,0.91773,0.62535,0.56375,1.36948,0.55794,0.000325526,0.000325526,0.000325526
41,588.12,0.7099,0.55224,0.94026,0.7715,0.87656,0.915,0.62577,0.56566,1.08311,0.56271,0.000297232,0.000297232,0.000297232
42,602.065,0.71833,0.57264,0.96224,0.79847,0.90013,0.94174,0.62492,0.55319,1.05547,0.56278,0.000268938,0.000268938,0.000268938
43,616.173,0.71477,0.52104,0.92383,0.81055,0.92534,0.94352,0.66129,0.53371,0.99605,0.55304,0.000240644,0.000240644,0.000240644
44,630.446,0.74984,0.54304,0.98504,0.90003,0.95,0.945,0.67349,0.52709,0.90119,0.54694,0.000212349,0.000212349,0.000212349
45,644.661,0.93613,0.56104,1.02341,0.88617,0.95,0.945,0.67789,0.51925,0.8559,0.54339,0.000184055,0.000184055,0.000184055
46,658.938,0.79987,0.55741,0.99739,0.89753,0.95,0.945,0.67648,0.51094,0.80151,0.53892,0.000155761,0.000155761,0.000155761
47,672.898,0.76018,0.54826,0.94898,0.9104,0.95,0.945,0.66586,0.50406,0.76433,0.53526,0.000127467,0.000127467,0.000127467
48,687.249,1.01212,0.54302,0.99406,0.91578,0.93549,0.96674,0.67356,0.49386,0.71184,0.53028,9.91726e-05,9.91726e-05,9.91726e-05
49,701.387,0.78426,0.54982,0.99721,0.91154,0.92107,0.96773,0.67948,0.48749,0.69057,0.52846,7.08784e-05,7.08784e-05,7.08784e-05
50,715.321,0.65694,0.46587,0.91341,0.88584,0.9,0.96273,0.67671,0.48326,0.66868,0.52695,4.25842e-05,4.25842e-05,4.25842e-05
