epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.18968,1.1104,4.37963,1.01907,0.0027,0.95,0.09848,0.08297,0.45729,9.73909,0.43975,5.716e-05,5.716e-05,5.716e-05
2,16.183,1.11253,3.96446,0.9617,0.00288,0.95,0.25371,0.18701,0.50892,9.69058,0.43817,0.000127337,0.000127337,0.000127337
3,24.0958,1.23938,3.13699,1.04039,0.0031,0.95,0.5341,0.30846,0.4811,9.59805,0.43139,0.000196099,0.000196099,0.000196099
4,31.5844,1.44235,3.34115,1.01475,0.00338,1,0.71758,0.38525,0.49828,9.50852,0.42899,0.000263446,0.000263446,0.000263446
5,39.2408,1.15383,2.4633,1.1093,0.0037,1,0.55747,0.32825,0.50818,9.43649,0.43445,0.000329379,0.000329379,0.000329379
6,46.8339,1.16535,2.92542,1.01572,0.00379,1,0.37857,0.26253,0.50234,9.39196,0.44089,0.000393897,0.000393897,0.000393897
7,54.4254,1.19034,4.64775,0.9812,0.00354,1,0.43759,0.29297,0.53586,9.29013,0.45669,0.000457,0.000457,0.000457
8,61.789,1.04803,1.73016,0.98544,0.00337,1,0.43829,0.26554,0.5075,9.24357,0.45564,0.000518688,0.000518688,0.000518688
9,69.2849,1.10796,1.74612,1.01932,0.00305,1,0.34823,0.22348,0.50666,9.19582,0.46574,0.000578962,0.000578962,0.000578962
10,76.6512,1.19565,1.77878,1.07391,0.00285,1,0.4417,0.32278,0.51383,9.0952,0.46868,0.000637821,0.000637821,0.000637821
11,84.0111,1.16122,2.44491,1.07531,0.00259,1,0.45053,0.35731,0.5254,8.97986,0.47328,0.000695266,0.000695266,0.000695266
12,91.2927,1.37545,2.00847,1.17501,0.00232,1,0.45094,0.3547,0.59557,8.84888,0.49374,0.000751295,0.000751295,0.000751295
13,98.5106,1.10494,1.82174,1.01027,0.00234,1,0.47328,0.38602,0.54549,8.7307,0.48135,0.00080591,0.00080591,0.00080591
14,105.756,1.04435,1.53618,1.00923,0.00248,1,0.52432,0.40791,0.56761,8.50426,0.50313,0.000859111,0.000859111,0.000859111
15,113.33,1.12683,1.48248,1.03611,1,0.12476,0.85846,0.52622,0.56166,8.11432,0.50461,0.000910896,0.000910896,0.000910896
16,120.937,1.12304,1.61169,1.01689,1,0.10798,0.84804,0.51038,0.62865,7.99909,0.52793,0.000961267,0.000961267,0.000961267
17,128.414,1.12216,1.57538,1.07221,1,0.3787,0.7802,0.54911,0.62938,7.67275,0.52616,0.00101022,0.00101022,0.00101022
18,135.918,1.08115,1.92435,1.01603,1,0.21025,0.69301,0.51401,0.58647,7.49489,0.5267,0.00105776,0.00105776,0.00105776
19,143.32,1.51074,2.69037,1.27812,0.97648,0.16726,0.76801,0.49917,0.60173,7.31891,0.53922,0.00110389,0.00110389,0.00110389
20,150.673,1.13613,1.68393,1.08369,0.91761,0.22222,0.69793,0.45816,0.62005,6.93752,0.53073,0.0011486,0.0011486,0.0011486
21,157.857,1.01752,1.46319,1.00125,0.92,0.29331,0.75175,0.50087,0.64801,6.64426,0.55438,0.00114606,0.00114606,0.00114606
22,165.039,0.99855,1.39609,1.00712,0.805,0.54442,0.78895,0.54734,0.58262,6.26662,0.54202,0.00113191,0.00113191,0.00113191
23,172.235,1.03936,1.32944,0.94838,0.86489,0.55,0.81704,0.5417,0.62279,6.03017,0.56124,0.00111776,0.00111776,0.00111776
24,179.445,1.22221,1.55338,1.12956,0.88058,0.5,0.85812,0.555,0.62856,6.0771,0.5512,0.00110362,0.00110362,0.00110362
25,186.644,1.0491,1.55689,1.0237,0.6328,0.56193,0.84695,0.57922,0.54594,6.43452,0.52033,0.00108947,0.00108947,0.00108947
26,193.893,0.96516,1.41232,0.99166,0.93969,0.44444,0.77734,0.49291,0.62397,7.13206,0.54177,0.00107532,0.00107532,0.00107532
27,201.021,1.04731,1.48873,0.97372,0.94189,0.5,0.71469,0.47275,0.6457,6.57836,0.54452,0.00106118,0.00106118,0.00106118
28,208.172,1.0029,1.33557,0.95211,0.99387,0.5,0.69732,0.47842,0.59444,6.09013,0.52676,0.00104703,0.00104703,0.00104703
29,215.399,1.08009,1.31553,1.00757,0.68535,0.55988,0.74012,0.50884,0.59214,5.91112,0.5355,0.00103288,0.00103288,0.00103288
30,222.604,1.01729,1.34366,1.02971,0.70635,0.6,0.79757,0.4987,0.62441,5.78195,0.55202,0.00101873,0.00101873,0.00101873
31,229.678,0.78282,3.04438,0.7742,0.69656,0.57182,0.78304,0.52683,0.58605,5.66414,0.53778,0.00100459,0.00100459,0.00100459
32,237.08,0.91843,1.17266,0.99025,0.74903,0.58433,0.8078,0.5305,0.57792,5.32677,0.52964,0.00099044,0.00099044,0.00099044
33,244.339,0.95177,1.18696,0.95092,0.60471,0.70195,0.79592,0.52609,0.60986,5.10738,0.54061,0.000976293,0.000976293,0.000976293
34,251.488,0.99008,1.10239,1.04591,0.68818,0.74474,0.7999,0.54456,0.59795,4.85703,0.54002,0.000962146,0.000962146,0.000962146
35,263.125,1.02825,1.07185,1.05139,0.54021,0.73681,0.75712,0.5346,0.60321,4.80027,0.55328,0.000947999,0.000947999,0.000947999
36,466.546,0.93152,1.20498,1.01456,0.77006,0.7,0.83367,0.56301,0.56789,4.60135,0.53728,0.000933851,0.000933851,0.000933851
37,474.284,0.84866,1.29684,0.92745,0.73346,0.68923,0.83991,0.56087,0.54601,4.52556,0.53036,0.000919704,0.000919704,0.000919704
38,481.517,0.90247,1.08044,0.98434,0.7635,0.67082,0.84252,0.57344,0.56587,4.44319,0.53493,0.000905557,0.000905557,0.000905557
