epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.0616,1.20278,6.35258,1.08245,0.98911,0.91509,0.94124,0.71817,0.41161,28.4122,0.47433,7.145e-05,7.145e-05,7.145e-05
2,120.184,1.06428,4.17849,1.03398,1,0.87013,0.96139,0.72197,0.46015,39.3362,0.49201,0.000154078,0.000154078,0.000154078
3,172.821,0.85457,2.89458,0.92725,0.98475,0.88312,0.93652,0.63926,0.50576,46.4032,0.50113,0.00023331,0.00023331,0.00023331
4,224.833,1.11458,2.86708,1.00442,0.96915,0.94444,0.97094,0.72688,0.49496,39.4021,0.47733,0.000309147,0.000309147,0.000309147
5,276.137,0.90813,2.00364,0.99712,0.97094,0.9392,0.95597,0.71982,0.48206,29.0191,0.47463,0.000381589,0.000381589,0.000381589
6,328.651,0.99255,1.68679,0.97719,0.76342,0.83333,0.90413,0.68449,0.50361,26.486,0.50881,0.000450635,0.000450635,0.000450635
7,395.011,0.94708,1.65159,0.99029,0.99817,0.86946,0.96708,0.73001,0.50763,19.6688,0.52891,0.000516286,0.000516286,0.000516286
8,445.873,0.96898,1.5597,1.00633,0.98856,0.982,0.995,0.69454,0.55901,16.2791,0.54119,0.000578542,0.000578542,0.000578542
9,497.178,0.94746,1.31853,1.05807,0.95124,0.94444,0.95125,0.6733,0.50763,13.5164,0.53246,0.000637403,0.000637403,0.000637403
10,548.854,1.02278,1.16456,1.04873,0.9832,0.93922,0.97808,0.70817,0.49362,12.0184,0.52208,0.000692868,0.000692868,0.000692868
11,600.894,1.01599,1.03425,1.06507,0.97558,0.83887,0.93686,0.71361,0.48888,14.8846,0.53125,0.000744938,0.000744938,0.000744938
12,674.735,0.92513,1.04398,1.0057,0.852,0.7481,0.80534,0.52882,0.57262,12.633,0.6024,0.000793612,0.000793612,0.000793612
13,755.353,0.97505,1.04451,0.97789,0.71629,0.83333,0.89524,0.58182,0.60347,6.56609,0.65482,0.000838892,0.000838892,0.000838892
14,834.815,0.99786,1.07939,1.05477,0.94262,0.42983,0.54258,0.2892,0.70946,7.8659,0.90157,0.000880776,0.000880776,0.000880776
15,915.157,1.13252,1.1765,1.15883,1,0.32689,0.42822,0.2142,0.77356,26.6122,0.82023,0.000919264,0.000919264,0.000919264
16,995.402,0.93988,0.90325,1.00758,0.46248,0.16667,0.16696,0.12567,0.51251,271.803,0.60496,0.000954358,0.000954358,0.000954358
17,1074.52,0.82935,0.83245,0.99132,0.51752,0.94444,0.64334,0.45378,0.51127,53.7162,0.58799,0.000976293,0.000976293,0.000976293
18,1154.79,0.91785,0.81085,1.01007,0.87047,1,0.9895,0.72099,0.48404,3.56493,0.56313,0.000947999,0.000947999,0.000947999
19,1234.6,1.03222,0.8011,1.06817,0.77445,1,0.96813,0.65519,0.56766,4.71114,0.61769,0.000919704,0.000919704,0.000919704
20,1315.54,1.02082,0.81067,1.07179,0.61499,0.85052,0.64535,0.50838,0.49145,18.3825,0.58491,0.00089141,0.00089141,0.00089141
21,1396.06,0.87504,0.72433,1.02831,0.59648,0.83333,0.6227,0.50729,0.4622,12.4913,0.54989,0.000863116,0.000863116,0.000863116
22,1473.82,0.84307,0.64506,0.94706,0.94556,0.7893,0.94528,0.71659,0.47234,2.80907,0.54381,0.000834822,0.000834822,0.000834822
23,1551.23,0.88666,0.8158,0.96886,0.97832,0.97659,0.995,0.70239,0.5735,3.89087,0.59282,0.000806528,0.000806528,0.000806528
24,1627.98,0.91014,0.76592,0.97916,0.859,0.93288,0.93952,0.6507,0.59734,2.18581,0.60795,0.000778233,0.000778233,0.000778233
25,1704.47,0.84583,0.71096,0.97913,0.93294,0.88889,0.92083,0.65668,0.56416,1.9273,0.57437,0.000749939,0.000749939,0.000749939
26,1782.28,0.83217,0.67819,0.92375,0.82058,0.92501,0.96986,0.61944,0.5742,1.41063,0.59708,0.000721645,0.000721645,0.000721645
27,1859.77,0.72885,0.6218,0.91657,0.81687,0.99447,0.984,0.68309,0.51696,1.3272,0.57543,0.000693351,0.000693351,0.000693351
28,1937.55,0.8387,0.6358,0.99572,0.7406,0.99366,0.984,0.74852,0.47061,1.08198,0.56909,0.000665057,0.000665057,0.000665057
29,2015.11,0.84474,0.70999,0.94873,0.95606,0.97981,0.995,0.75858,0.44967,1.00682,0.56765,0.000636762,0.000636762,0.000636762
30,2092.8,0.84773,0.67297,0.96725,0.82943,1,0.995,0.76128,0.43413,0.91053,0.55401,0.000608468,0.000608468,0.000608468
31,2170.51,0.79838,0.64249,0.95646,0.9344,1,0.995,0.77175,0.43385,0.79877,0.55133,0.000580174,0.000580174,0.000580174
32,2249.22,0.73736,0.5962,0.92318,0.98203,1,0.995,0.79602,0.41819,0.93282,0.52008,0.00055188,0.00055188,0.00055188
33,2326.56,0.72552,0.58388,0.93771,0.98725,1,0.995,0.77974,0.41672,0.91549,0.51615,0.000523586,0.000523586,0.000523586
34,2404.55,0.79869,0.64171,1.00073,0.98651,1,0.995,0.76356,0.40145,0.81496,0.5056,0.000495291,0.000495291,0.000495291
35,2482.67,0.73486,0.62894,0.94505,0.98774,1,0.995,0.78298,0.39002,0.79211,0.50122,0.000466997,0.000466997,0.000466997
36,2560.49,0.69096,0.54261,0.90378,0.98432,1,0.995,0.83325,0.37831,0.86394,0.4928,0.000438703,0.000438703,0.000438703
37,2637.86,0.65708,0.5005,0.90188,0.98685,1,0.995,0.82647,0.37751,0.85559,0.49525,0.000410409,0.000410409,0.000410409
